Site,Plot,Tree #,Species,Species Ac,DBH (in),DBH Class (1 inch bin),Distance Feet,Distance Inches,Total Distance (ft),Azimuth,Height,Live Crown Ratio (%),Class,Status,Age,BA/tree (sq. ft),BA/acre,TPA
Goose Island,2,6,SM,,25.9,25,27,10,27.83333333,85,57,75,I,L,63,3.65859774,36.5859774,10
Goose Island,2,7,CW,,26.6,,11,2,11.16666667,136,87.3,15,D,L,70,3.85903224,38.5903224,10
Goose Island,2,8,AE,,10.3,,21,9,21.75,161,32,80,S,L,69,0.57861486,5.7861486,10
Goose Island,2,9,CW,,20.8,,28,2,28.16666667,170,64.3,25,D,L,NA,2.35961856,23.5961856,10
Goose Island,2,10,SM,,19.7,,24,5,24.41666667,202,86.6,45,D,L,60,2.11664286,21.1664286,10
Goose Island,2,11,SM,,22,,24,5,24.41666667,202,86.6,45,D,L,66,2.639736,26.39736,10
Goose Island,2,12,SM,,12.9,,36,11,36.91666667,220,47.2,70,S,L,74,0.90760014,9.0760014,10
Goose Island,2,13,SM,,19.5,,37,1,37.08333333,251,68.2,35,C,L,74,2.0738835,20.738835,10
Goose Island,2,14,SM,,6.7,,23,10,23.83333333,288,28.4,80,S,L,65,0.24483006,2.4483006,10
Goose Island,2,15,SM,,14.7,,36,4,36.33333333,318,49.6,40,I,L,68,1.17855486,11.7855486,10
Goose Island,2,16,SM,,18.1,,34,7,34.58333333,324,52,45,I,L,70,1.78678494,17.8678494,10
Goose Island,2,17,CW,,29.4,,29,0,29,338,100.2,20,D,L,71,4.71421944,47.1421944,10
Goose Island,2,18,SM,,12.2,,26,6,26.5,341,45.4,85,S,L,73,0.81177336,8.1177336,10
Goose Island,5,1,ASH,,20.7,,6,11,6.916666667,347,64.4,15,D,L,72,2.33698446,23.3698446,10
Goose Island,5,2,ASH,,20,,25,7,25.58333333,76,72.5,20,D,L,65,2.1816,21.816,10
Goose Island,5,3,BL,,5,,26,5,26.41666667,98,34.9,60,I,L,27,0.13635,1.3635,10
Goose Island,5,4,BL,,6.5,,24,0,24,103,51.1,30,I,L,34,0.2304315,2.304315,10
Goose Island,5,5,BL,,9.1,,36,3,36.25,126,45.4,20,C,L,NA,0.45164574,4.5164574,10
Goose Island,5,6,BL,,6,,22,8,22.66666667,127,49.5,15,C,L,32,0.196344,1.96344,10
Goose Island,5,7,ASH,,24.1,,32,6,32.5,259,75.6,15,D,L,66,3.16773774,31.6773774,10
Goose Island,9,1,SM,,14.8,,23,0,23,22,68.7,60,C,L,39,1.19464416,11.9464416,10
Goose Island,9,2,ASH,,6.9,,12,8,12.66666667,35,57.2,20,C,L,38,0.25966494,2.5966494,10
Goose Island,9,3,ASH,,5.9,,23,2,23.16666667,35,47.6,65,S,L,29,0.18985374,1.8985374,10
Goose Island,9,4,ASH,,5.3,,4,0,4,56,43.6,30,S,L,33,0.15320286,1.5320286,10
Goose Island,9,5,OAK,,26,,32,7,32.58333333,71,82.8,35,D,L,84,3.686904,36.86904,10
Goose Island,9,6,HB,,7.6,,23,7,23.58333333,101,48,80,S,L,NA,0.31502304,3.1502304,10
Goose Island,9,7,ASH,,15,,28,7,28.58333333,113,57.3,30,C,L,40,1.22715,12.2715,10
Goose Island,9,8,HB,,13.4,,20,0,20,117,60.9,40,C,L,39,0.97932024,9.7932024,10
Goose Island,9,9,ASH,,14.5,,33,0,33,176,68.4,55,D,L,100,1.1467035,11.467035,10
Goose Island,9,10,ASH,,7.5,,24,8,24.66666667,245,54.1,80,I,L,40,0.3067875,3.067875,10
Goose Island,9,11,ASH,,8.1,,20,6,20.5,305,39.2,10,S,L,70,0.35783694,3.5783694,10
Goose Island,9,12,HB,,9.1,,26,8,26.66666667,346,51.7,35,I,L,36,0.45164574,4.5164574,10
Goose Island,12,1,ASH,,16.5,,24,10,24.83333333,76,63.7,75,D,L,75,1.4848515,14.848515,10
Goose Island,12,2,ASH,,14.6,,21,0,21,158,70.5,15,D,L,74,1.16257464,11.6257464,10
Goose Island,12,3,OAK,,8.6,,27,3,27.25,162,60.1,50,D,L,47,0.40337784,4.0337784,10
Goose Island,12,4,RB,,14.6,,26,8,26.66666667,219,61.6,4,D,L,61,1.16257464,11.6257464,10
Goose Island,12,5,OAK,,10.8,,36,0,36,226,53.4,60,C,L,47,0.63615456,6.3615456,10
Goose Island,12,6,ASH,,23.7,,12,0,12,251,73.2,30,D,L,64,3.06345726,30.6345726,10
