Site,Plot,Tree #,Species,DBH (in),Distance Feet,Distance Inches,Total Distance (ft),Azimuth,Height,Live Crown Ratio (%),Class,Status
Lake Rebecca,4,4,ASH,9.5,7,11,7.916666667,77,57.4,5,S,L
Lake Rebecca,4,5,AE,8.2,12,9,12.75,75,34.1,80,I,L
Lake Rebecca,4,6,SM,16.7,14,10,14.83333333,72,52.6,40,C,L
Lake Rebecca,4,7,AE,6.8,22,5,22.41666667,104,37,80,I,L
Lake Rebecca,4,8,SM,13.3,35,1,35.08333333,130,62.9,40,C,L
Lake Rebecca,4,9,ASH,7.9,23,8,23.66666667,139,51.6,70,I,L
Lake Rebecca,4,10,CW,17.9,21,0,21,160,58.6,20,D,L
Lake Rebecca,4,11,SM,8.3,11,9,11.75,168,47.4,40,I,L
Lake Rebecca,4,12,SM,5.9,15,10,15.83333333,166,33.8,40,I,L
Lake Rebecca,4,13,ASH,8.6,26,6,26.5,174,48.9,80,I,L
Lake Rebecca,4,14,CW,28.1,24,9,24.75,191,98.8,15,D,L
Lake Rebecca,4,15,SM,13.5,8,0,8,239,54.3,40,I,L
Lake Rebecca,4,16,ASH,6,24,10,24.83333333,224,31,70,I,L
Lake Rebecca,4,17,CW,15.5,36,9,36.75,228,93.7,20,C,L
Lake Rebecca,4,18,ASH,7.1,26,7,26.58333333,284,42.5,70,I,L
Lake Rebecca,4,19,ASH,"A7.9, B6.3",21,0,21,342,36.1,80,I,L
Lake Rebecca,4,20,SM,15.1,32,7,32.58333333,346,60,50,C,L
Lake Rebecca,5,1,AE,7.7,9,3,9.25,4,31.6,60,I,L
Lake Rebecca,5,2,CW,24.6,30,0,30,5,74.6,20,D,L
Lake Rebecca,5,3,CW,34.8,37,0,37,10,75.3,30,D,L
Lake Rebecca,5,4,CW,23,37,0,37,89,107,15,D,L
Lake Rebecca,5,5,SM,15.5,18,0,18,100,55.7,40,I,L
Lake Rebecca,5,6,CW,27,32,3,32.25,110,75.8,20,D,L
Lake Rebecca,5,7,CW,28.6,30,0,30,134,80.7,25,C,L
Lake Rebecca,5,8,SM,14,15,8,15.66666667,146,51.4,40,C,L
Lake Rebecca,5,9,ASH,5.6,22,0,22,150,29.5,30,S,L
Lake Rebecca,5,10,AE,6.5,9,3,9.25,212,26.3,40,S,L
Lake Rebecca,5,11,SM,14.2,30,11,30.91666667,288,50.4,50,C,L
